Wall time,Step,Value
1679983167.607908,4542,2.2263200207817135e-06
1679983251.985717,4550,2.3721866000414593e-06
1679983275.214353,4552,2.7670510007737903e-06
1679983285.828862,4553,2.535430212446954e-06
1679983443.570572,4568,2.078770876323688e-06
1679983548.773997,4578,2.7833102649310604e-06
1679983580.53548,4581,4.1032144508790225e-06
1679983696.885521,4592,2.2199628801899962e-06
1679983728.223722,4595,2.5262834242312238e-06
1679983749.289653,4597,2.035872739725164e-06
1679983770.448904,4599,2.171816049667541e-06
1679983899.608454,4611,2.4039834443101427e-06
1679984079.482405,4628,2.6193533813057e-06
1679984237.974158,4643,2.8724577987304656e-06
1679984301.617614,4649,2.4538414891139837e-06
1679984377.567097,4656,1.9621311366790906e-06
1679984461.933867,4664,3.0388039249373833e-06
1679984504.130996,4668,2.176732095904299e-06
1679984578.364655,4675,3.047076233997359e-06
1679984588.927427,4676,2.25693611355382e-06
1679984599.548149,4677,2.275274937346694e-06
1679984705.030442,4687,2.468353159201797e-06
1679984982.369164,4713,1.6655878880555974e-06
1679985035.322813,4718,2.5826948331086896e-06
1679985203.202988,4734,2.5888450636557536e-06
1679985256.283338,4739,1.8259180478708004e-06
1679985320.198825,4745,1.6992958080663811e-06
1679985361.156308,4749,3.3353258004353847e-06
1679985371.813778,4750,2.139284333679825e-06
1679985457.140352,4758,1.7155606428786996e-06
1679985488.539155,4761,2.3287661861104425e-06
1679985498.542281,4762,2.3659770249651046e-06
1679985518.796408,4764,3.0603973755205516e-06
1679985548.829981,4767,2.648033614605083e-06
1679985643.871491,4776,1.518427438895742e-06
1679985686.121076,4780,1.421380488864088e-06
1679985728.002388,4784,1.8712332803261233e-06
1679985759.649336,4787,1.352522076558671e-06
1679985770.456617,4788,1.9494216303428402e-06
1679985833.364539,4794,1.3482579106494086e-06
1679985896.298651,4800,1.4230822671379428e-06
1679985919.819165,4802,2.340395440114662e-06
1679985951.304209,4805,2.2880676624481566e-06
1679986161.500091,4825,1.817195197872934e-06
1679986319.301389,4840,1.9193450953025604e-06
1679986447.812487,4852,3.047324980798294e-06
1679986646.414544,4871,2.9875454856664874e-06
1679986666.594161,4873,3.5596269754023524e-06
1679986833.031533,4889,3.050298346352065e-06
1679986864.964041,4892,2.187857262470061e-06
1679986886.063738,4894,1.909348839035374e-06
1679986896.833141,4895,2.340493438168778e-06
1679987100.264909,4914,1.7923530322150327e-06
1679987352.937769,4938,2.888200697270804e-06
1679987384.8206,4941,2.531170366637525e-06
